Animal_ID,Sex,Age2,LocalTime,KPH,Sn,AGL0,VerticalRate,abs_angle,absVR
106,F,Fledgling,7/10/19 5:34,44.37,12.24,22.35,-0.25,1.73,0.25
106,F,Fledgling,7/10/19 5:34,43.31,10.8,17.1,-0.87,0.46,0.87
106,F,Fledgling,7/12/19 7:53,37.55,9.23,25.76,-1.08,0.29,1.08
106,F,Fledgling,7/12/19 7:54,37.85,8.86,20.04,-0.95,0.13,0.95
106,F,Fledgling,7/12/19 7:54,36.85,10.35,12.42,-1.27,0.07,1.27
106,F,Fledgling,7/12/19 7:54,36.18,9.95,13.08,0.11,0.1,0.11
106,F,Fledgling,7/12/19 7:54,36.44,8.74,8.64,-0.88,0.51,0.88
106,F,Fledgling,7/12/19 7:54,36.98,8.58,9.95,0.26,2.08,0.26
106,F,Fledgling,7/12/19 7:54,43.42,9.47,9.67,-0.05,1,0.05
106,F,Fledgling,7/12/19 7:54,20.2,11.59,10.44,0.12,0.62,0.12
106,F,Fledgling,7/13/19 6:09,41.87,10.3,18.84,-1.73,0.03,1.73
106,F,Fledgling,7/13/19 6:09,32.2,10.93,16.44,-0.47,0.13,0.47
106,F,Fledgling,7/13/19 6:26,34.59,8.66,23.76,0.08,0.69,0.08
106,F,Fledgling,7/13/19 6:26,36.52,10.59,24.22,0.09,1.21,0.09
106,F,Fledgling,7/13/19 6:26,33.52,7.9,20.14,-0.81,1.75,0.81
106,F,Fledgling,7/13/19 6:26,42.09,8.69,18.34,-0.3,1.64,0.3
106,F,Fledgling,7/13/19 6:26,41.31,11.04,19.06,0.14,0.72,0.14
106,F,Fledgling,7/13/19 6:27,38.92,11.44,17.51,-0.31,0.62,0.31
106,F,Fledgling,7/13/19 6:27,35.89,10.77,17.54,0.005999788,0.46,0.005999788
106,F,Fledgling,7/13/19 6:27,37.31,10.01,18.39,0.17,0.11,0.17
106,F,Fledgling,7/13/19 6:27,39.22,10.8,19.14,0.15,0.36,0.15
106,F,Fledgling,7/13/19 6:27,41.72,10.92,18.17,-0.19,0.44,0.19
106,F,Fledgling,7/13/19 6:27,41.35,11.28,12.63,-1.1,0.000757625,1.1
106,F,Fledgling,7/13/19 15:33,21.55,11.62,11.44,-0.43,0.5,0.43
106,F,Fledgling,7/14/19 7:43,44.68,12.18,6.59,-0.16,1.15,0.16
106,F,Fledgling,7/14/19 7:44,45.17,12.17,17.13,2.1,1.38,2.1
106,F,Fledgling,7/14/19 7:44,34.26,8.8,14.22,-0.58,1.16,0.58
106,F,Fledgling,7/14/19 7:44,37.42,9.39,10.87,-0.55,0.25,0.55
106,F,Fledgling,7/14/19 8:39,47.72,12.67,15.42,-0.76,0.49,0.76
106,F,Fledgling,7/14/19 8:39,42.85,11.83,15.67,0.04,0.09,0.04
106,F,Fledgling,7/14/19 8:39,49.39,12.71,13.89,-0.35,0.82,0.35
106,F,Fledgling,7/14/19 8:39,44.18,10.76,12.12,-0.35,0.28,0.35
106,F,Fledgling,7/14/19 8:39,37.85,11.51,13.52,0.27,0.17,0.27
106,F,Fledgling,7/14/19 8:40,42.78,11.59,12.41,-0.18,0.02,0.18
106,F,Fledgling,7/14/19 8:40,43.26,12.16,12.8,0.07,0.28,0.07
106,F,Fledgling,7/14/19 8:40,42.79,11.69,10.38,-0.48,0.35,0.48
106,F,Fledgling,7/14/19 8:40,48.98,12.11,9.69,-0.11,0.15,0.11
106,F,Fledgling,7/14/19 8:40,44.18,12.52,10.3,0.1,0.1,0.1
106,F,Fledgling,7/14/19 8:40,42.2,12.07,10.29,-0.002203363,0.009896421,0.002203363
106,F,Fledgling,7/14/19 8:40,41.18,11.29,10.65,0.07,0.8,0.07
106,F,Fledgling,7/14/19 8:40,43.35,10.21,9.52,-0.18,0.31,0.18
106,F,Fledgling,7/14/19 8:40,23.59,9.47,13.28,0.62,0.84,0.62
106,F,Fledgling,7/14/19 8:40,33.91,8.28,10.6,-0.53,0.97,0.53
106,F,Fledgling,7/14/19 8:40,38.87,10.1,7.2,-0.68,0.19,0.68
106,F,Fledgling,7/14/19 8:41,43.26,11.33,0,-1.22,0.31,1.22
106,F,Fledgling,7/14/19 8:48,36.42,10.57,0.92,0.12,0.11,0.12
106,F,Fledgling,7/14/19 8:48,38.05,10.22,0.67,-0.05,0.12,0.05
106,F,Fledgling,7/14/19 8:48,38.94,10.73,0.56,-0.01,0.44,0.01
106,F,Fledgling,7/14/19 8:49,40.02,10.98,0.53,-0.00499979,0.2,0.00499979
106,F,Fledgling,7/14/19 8:49,38.39,10.9,0.47,-0.01,0.18,0.01
106,F,Fledgling,7/14/19 8:49,30.65,9.03,0.14,-0.06,0.92,0.06
106,F,Fledgling,7/14/19 8:49,23.48,7.69,0,-0.17,0.14,0.17
106,F,Fledgling,7/14/19 11:43,49.22,11.99,4.17,-0.1,0.13,0.1
106,F,Fledgling,7/14/19 11:43,43.09,12.28,2.35,-0.3,0.46,0.3
106,F,Fledgling,7/14/19 11:43,8.5,5.96,10.74,1.67,3.05,1.67
106,F,Fledgling,7/14/19 13:13,32.31,5.03,33.12,-0.38,1.56,0.38
106,F,Fledgling,7/14/19 13:13,34.81,11.73,33.6,0.09,1.04,0.09
106,F,Fledgling,7/14/19 13:13,26.61,8.2,40.49,1.37,0.43,1.37
106,F,Fledgling,7/14/19 13:13,31.81,6.79,34.36,-1.22,1.58,1.22
106,F,Fledgling,7/14/19 13:13,47.48,13.22,31.67,-0.53,0.17,0.53
106,F,Fledgling,7/14/19 13:13,44.18,12.47,32.91,0.24,0.46,0.24
106,F,Fledgling,7/14/19 13:13,35.52,9.87,31.76,-0.23,0.19,0.23
106,F,Fledgling,7/14/19 13:13,55.89,11.67,24.3,-1.49,0.08,1.49
106,F,Fledgling,7/14/19 13:13,36.83,13.18,25.74,0.28,0.73,0.28
106,F,Fledgling,7/14/19 13:13,41.09,10.67,25.45,-0.05,0.55,0.05
106,F,Fledgling,7/14/19 13:14,32.5,4.24,31.67,1.24,3.06,1.24
106,F,Fledgling,7/14/19 13:14,41.15,9.87,34.74,0.61,2.27,0.61
106,F,Fledgling,7/14/19 13:14,17.16,5.78,29.58,-1.03,2.7,1.03
106,F,Fledgling,7/14/19 13:14,31.52,9.29,27.74,-0.3,1.99,0.3
106,F,Fledgling,7/14/19 13:14,26.74,7.03,31.32,0.59,1.82,0.59
106,F,Fledgling,7/14/19 13:14,54.93,12.57,14.26,-2.84,0.48,2.84
106,F,Fledgling,7/15/19 8:59,58.93,12.75,9.26,-0.61,0.76,0.61
106,F,Fledgling,7/15/19 8:59,50.42,14.36,11.42,0.43,2.09,0.43
106,F,Fledgling,7/15/19 8:59,27.29,3.92,12.63,0.24,1.55,0.24
106,F,Fledgling,7/15/19 8:59,25.83,8.69,13.44,0.16,0.01,0.16
106,F,Fledgling,7/15/19 8:59,33.72,8.09,14.17,0.14,0.85,0.14
106,F,Fledgling,7/15/19 8:59,36.72,8.51,11.15,-0.6,0.02,0.6
106,F,Fledgling,7/15/19 12:14,20.33,6.65,42.92,1.08,2.23,1.08
106,F,Fledgling,7/15/19 12:14,35.7,5.4,44.75,0.3,0.76,0.3
106,F,Fledgling,7/15/19 12:14,36.81,13.79,38.59,-1.23,1.43,1.23
106,F,Fledgling,7/15/19 12:14,27.11,6.85,41.82,0.64,0.19,0.64
106,F,Fledgling,7/15/19 12:14,31.87,5.3,38.75,-0.51,0.69,0.51
106,F,Fledgling,7/15/19 12:14,35.28,8.2,44.35,1.12,0.31,1.12
106,F,Fledgling,7/15/19 12:14,45.96,8.57,43.91,-0.08,0.02,0.08
106,F,Fledgling,7/15/19 12:14,19.46,6.31,48.77,0.8,0.04,0.8
106,F,Fledgling,7/15/19 12:14,37.05,4.74,40.7,-1.61,0.15,1.61
106,F,Fledgling,7/15/19 12:14,19.14,7.21,48.6,1.57,0.81,1.57
106,F,Fledgling,7/15/19 12:14,28.13,5.4,43.12,-1.09,0.65,1.09
106,F,Fledgling,7/15/19 12:15,36.53,8.29,43.74,0.12,0.27,0.12
106,F,Fledgling,7/15/19 12:15,29.16,6.6,41.21,-0.5,0.93,0.5
106,F,Fledgling,7/15/19 12:15,24.02,5.47,43.32,0.42,0.25,0.42
106,F,Fledgling,7/15/19 12:15,24.35,7.33,44.09,0.12,1.92,0.12
106,F,Fledgling,7/15/19 12:15,42.07,9.23,41.94,-0.42,0.27,0.42
106,F,Fledgling,7/15/19 12:15,44.79,12.91,33.32,-1.72,0.6,1.72
106,F,Fledgling,7/15/19 12:15,22.79,9.39,38.33,0.83,0.63,0.83
106,F,Fledgling,7/15/19 12:15,28.29,7.94,40.7,0.47,0.31,0.47
106,F,Fledgling,7/15/19 12:15,29.31,8.56,41.86,0.23,0.6,0.23
106,F,Fledgling,7/15/19 12:15,25.87,5.24,48.48,1.32,2.9,1.32
106,F,Fledgling,7/15/19 12:15,69.41,13.29,43.04,-0.9,1.18,0.9
106,F,Fledgling,7/15/19 12:16,61.54,17.78,40.55,-0.49,0.73,0.49
106,F,Fledgling,7/15/19 12:16,25.72,10.58,46.54,1.19,2.98,1.19
106,F,Fledgling,7/15/19 12:16,47.92,8.28,39.55,-1.39,0.28,1.39
106,F,Fledgling,7/15/19 12:16,30.05,10.68,42.56,0.6,0.06,0.6
106,F,Fledgling,7/15/19 12:16,46.83,7.84,42.29,-0.04,1.21,0.04
106,F,Fledgling,7/15/19 12:16,60.59,18.19,33.08,-1.84,0.9,1.84
106,F,Fledgling,7/15/19 12:16,27.2,10.03,28.26,-0.96,2.52,0.96
106,F,Fledgling,7/15/19 12:16,31.98,6.85,23.17,-1.01,0.17,1.01
106,F,Fledgling,7/15/19 12:16,36.24,9.99,14.64,-1.7,0.26,1.7
106,F,Fledgling,7/15/19 13:05,34.39,8.99,26.35,-0.02,0.1,0.02
106,F,Fledgling,7/15/19 13:05,34.13,8.56,28.14,0.29,0.47,0.29
106,F,Fledgling,7/15/19 13:05,34.09,9.96,21.22,-1.38,0.04,1.38
106,F,Fledgling,7/15/19 16:36,27.89,2.1,19.15,-0.16,1.08,0.16
106,F,Fledgling,7/15/19 16:37,43.96,11.91,26.72,1.51,2.33,1.51
106,F,Fledgling,7/15/19 16:37,24.74,6.53,18.6,-1.62,1.21,1.62
106,F,Fledgling,7/15/19 16:37,22.7,7.05,18.15,-0.09,0.12,0.09
106,F,Fledgling,7/16/19 10:58,35.83,6.23,13.85,-0.26,1.92,0.26
106,F,Fledgling,7/16/19 10:58,41.02,10.53,13.26,-0.11,0.57,0.11
106,F,Fledgling,7/16/19 10:58,41.63,11.5,13.64,0.07,0.02,0.07
106,F,Fledgling,7/18/19 8:25,28.46,9.57,15.7,-0.59,0.76,0.59
106,F,Fledgling,7/18/19 8:25,37.28,8.25,12.67,-0.6,0.65,0.6
106,F,Fledgling,7/18/19 8:25,37.02,8.68,15.86,0.53,0.22,0.53
106,F,Fledgling,7/18/19 8:25,28.87,9.68,14.94,-0.15,0.52,0.15
106,F,Fledgling,7/18/19 8:26,34.07,9.05,13.27,-0.33,0.75,0.33
106,F,Fledgling,7/18/19 8:26,42.13,11.03,12.06,-0.24,0.3,0.24
106,F,Fledgling,7/18/19 8:26,40.98,10.15,14.25,0.43,0.66,0.43
106,F,Fledgling,7/18/19 8:26,26.39,11.65,13.25,-0.2,0.63,0.2
106,F,Fledgling,7/18/19 8:26,40.54,10.36,11.16,-0.34,0.66,0.34
106,F,Fledgling,7/18/19 8:26,36.89,8.55,7.88,-0.54,0.47,0.54
106,F,Fledgling,7/18/19 8:26,33.31,9.88,8.75,0.17,0.28,0.17
106,F,Fledgling,7/18/19 8:26,34.59,9.36,4.91,-0.76,0.82,0.76
106,F,Fledgling,7/18/19 8:26,33.7,8.47,2.9,-0.4,0.14,0.4
106,F,Fledgling,7/18/19 8:26,34.7,10.66,0,-1.07,0.33,1.07
106,F,Fledgling,7/18/19 8:26,18.5,8.5,0,0.09,0.68,0.09
106,F,Fledgling,7/18/19 14:34,31.85,8.56,25.7,0.22,0.12,0.22
106,F,Fledgling,7/18/19 14:34,46.3,11.19,13.87,-2.36,0.45,2.36
106,F,Fledgling,7/18/19 14:34,34.59,8.55,12.44,-0.23,0.57,0.23
106,F,Fledgling,7/18/19 14:35,40.04,10.27,8.64,-0.76,0.32,0.76
106,F,Fledgling,7/19/19 12:07,28.74,9.17,15.82,0.36,2.4,0.36
106,F,Fledgling,7/19/19 12:07,37.33,7.08,11.1,-0.94,0.45,0.94
106,F,Fledgling,7/19/19 12:07,38.65,11.67,11.2,0.02,0.72,0.02
106,F,Fledgling,7/19/19 12:07,43.26,12.64,10.23,-0.19,0.48,0.19
106,F,Fledgling,7/19/19 12:08,41.48,11.15,7.4,-0.56,2.49,0.56
106,F,Fledgling,7/19/19 12:08,41.76,6.24,10.3,0.48,0.72,0.48
106,F,Fledgling,7/19/19 12:08,44.89,12.2,12.2,0.31,1.45,0.31
106,F,Fledgling,7/19/19 12:08,57.74,13.95,4.72,-1.24,1.16,1.24
106,F,Fledgling,7/19/19 12:08,42.68,13.98,7.06,0.46,0.02,0.46
106,F,Fledgling,7/19/19 12:08,50.18,13.06,7.44,0.07,0.5,0.07
106,F,Fledgling,7/19/19 12:08,56.33,14.61,1.3,-1.22,0.61,1.22
106,F,Fledgling,7/19/19 12:08,40.33,11.01,0.49,-0.16,0.44,0.16
106,F,Fledgling,7/19/19 12:08,34.63,10.95,0,-0.16,0.76,0.16
106,F,Fledgling,7/19/19 12:08,34,9.7,2.88,0.64,0.38,0.64
106,F,Fledgling,7/19/19 12:08,35.46,9.62,1.45,-0.28,1.1,0.28
106,F,Fledgling,7/19/19 12:08,32.07,7.75,1.53,0.01,0.44,0.01
106,F,Fledgling,7/19/19 12:09,32.53,9.36,0.1,-0.28,0.09,0.28
106,F,Fledgling,7/19/19 12:09,35.52,9.92,0.51,0.08,0.1,0.08
106,F,Fledgling,7/19/19 12:09,10.63,7.02,1.17,0.13,1.27,0.13
106,F,Fledgling,7/19/19 13:57,45.67,7.03,3.74,-0.07,1.09,0.07
106,F,Fledgling,7/19/19 13:57,41.61,12.06,6.87,0.52,0.8,0.52
106,F,Fledgling,7/19/19 13:57,31.57,8.87,6.88,0.000598148,0.35,0.000598148
106,F,Fledgling,7/19/19 13:57,27.22,9.19,8.1,0.24,0.3,0.24
106,F,Fledgling,7/20/19 4:18,26.24,4.22,18.15,-1.99,1.29,1.99
106,F,Fledgling,7/20/19 4:18,50.76,12.8,10.67,-1.49,1.08,1.49
106,F,Fledgling,7/20/19 4:19,49.87,13.28,9.58,-0.21,1.43,0.21
106,F,Fledgling,7/20/19 4:19,36.44,9.84,12.44,0.47,0.85,0.47
106,F,Fledgling,7/20/19 4:19,35.26,9.54,13.1,0.1,0.1,0.1
106,F,Fledgling,7/20/19 4:19,25.61,9.7,17.72,0.92,0.09,0.92
106,F,Fledgling,7/20/19 13:24,24.57,5.36,27.87,0.59,2.78,0.59
106,F,Fledgling,7/20/19 13:24,48.5,13.45,28.43,0.11,0.07,0.11
106,F,Fledgling,7/20/19 13:24,28.57,11.03,45.71,3.45,2.88,3.45
106,F,Fledgling,7/20/19 13:24,40.91,4.37,47.45,0.34,0.14,0.34
106,F,Fledgling,7/20/19 13:24,19.64,6.19,49.7,0.37,0.57,0.37
106,F,Fledgling,7/20/19 13:24,30.72,8.05,40.87,-1.47,2.66,1.47
106,F,Fledgling,7/20/19 13:24,51.81,2.59,46.88,1,1.7,1
106,F,Fledgling,7/20/19 13:24,42.96,7.25,41.1,-1.15,1.85,1.15
106,F,Fledgling,7/20/19 13:24,51.68,5.32,42.1,0.2,1.46,0.2
106,F,Fledgling,7/20/19 13:24,51.94,12.91,41.3,-0.16,2.13,0.16
106,F,Fledgling,7/20/19 13:24,34.35,3.02,44.62,0.55,1.62,0.55
106,F,Fledgling,7/20/19 13:25,24.72,7.15,47.12,0.49,0.39,0.49
106,F,Fledgling,7/20/19 13:25,38.28,7.3,55.45,1.66,0.9,1.66
106,F,Fledgling,7/20/19 13:25,25.81,6.58,59.17,0.74,0.53,0.74
106,F,Fledgling,7/20/19 13:25,28.87,7.72,65.13,0.99,0.97,0.99
106,F,Fledgling,7/20/19 13:25,24.02,6.81,68.05,0.58,2.66,0.58
106,F,Fledgling,7/20/19 13:25,61,10.93,70.17,0.42,1.6,0.42
106,F,Fledgling,7/20/19 13:25,14.01,6.14,78.14,1.32,2.57,1.32
106,F,Fledgling,7/20/19 13:25,45.74,6.82,80.71,0.51,1.44,0.51
106,F,Fledgling,7/20/19 13:25,46.65,13.51,82.54,0.36,2.14,0.36
106,F,Fledgling,7/20/19 13:25,21.05,2.69,84.69,0.43,2.68,0.43
106,F,Fledgling,7/20/19 13:25,59.67,11.44,77.77,-1.38,1.01,1.38
106,F,Fledgling,7/20/19 13:25,37.76,11.93,84.35,1.31,3.05,1.31
106,F,Fledgling,7/20/19 13:26,31.9,1.15,86.49,0.42,2.39,0.42
106,F,Fledgling,7/20/19 13:26,45.65,11.34,92.03,0.92,2.19,0.92
106,F,Fledgling,7/20/19 13:26,24.44,3.45,93.03,0.16,2.4,0.16
106,F,Fledgling,7/20/19 13:26,26.7,7.91,91.52,-0.3,2.4,0.3
106,F,Fledgling,7/20/19 13:26,43.11,6.87,90.35,-0.23,0.28,0.23
106,F,Fledgling,7/20/19 13:26,20.31,8.78,97.32,1.39,0.66,1.39
106,F,Fledgling,7/20/19 13:26,23.46,3.2,102.32,1,2.19,1
106,F,Fledgling,7/20/19 13:26,65.26,14.69,99.59,-0.54,1.26,0.54
106,F,Fledgling,7/20/19 13:26,27.9,11.25,104.43,0.96,3.11,0.96
106,F,Fledgling,7/20/19 13:26,39.33,3.27,104.43,0,1.71,0
106,F,Fledgling,7/20/19 13:26,59.67,12.27,102.59,-0.36,1.45,0.36
106,F,Fledgling,7/20/19 13:26,30.09,12.22,98.34,-0.85,2.84,0.85
106,F,Fledgling,7/20/19 13:27,45.57,3.19,102.22,0.64,1.73,0.64
106,F,Fledgling,7/20/19 13:27,61.28,14.19,99.5,-0.54,1.08,0.54
106,F,Fledgling,7/20/19 13:27,27.09,11.45,102.12,0.52,2.84,0.52
106,F,Fledgling,7/20/19 13:27,36.46,2.48,107.03,0.98,0.6,0.98
106,F,Fledgling,7/20/19 13:27,13.92,4.27,115.5,1.69,2.34,1.69
106,F,Fledgling,7/20/19 13:27,72.5,13.81,98.59,-3.38,0.64,3.38
106,F,Fledgling,7/20/19 13:27,42.15,15.02,106.46,1.57,2.01,1.57
106,F,Fledgling,7/20/19 13:27,14.59,4.82,104.04,-0.48,2.9,0.48
106,F,Fledgling,7/20/19 13:27,59.06,12.77,99.4,-0.92,0.29,0.92
106,F,Fledgling,7/20/19 13:27,48.92,14.24,99.41,0.001668292,0.02,0.001668292
106,F,Fledgling,7/20/19 13:27,58.22,14.88,92.88,-1.3,0.27,1.3
106,F,Fledgling,7/20/19 13:28,45.94,15.79,93.17,0.05,0.13,0.05
106,F,Fledgling,7/20/19 13:28,52.46,14.04,88.53,-0.92,0.11,0.92
106,F,Fledgling,7/20/19 13:28,41.18,12.77,86.82,-0.28,0.82,0.28
106,F,Fledgling,7/20/19 13:28,22.13,8.56,83.74,-0.61,1.7,0.61
106,F,Fledgling,7/20/19 13:28,24.33,6.44,79.88,-0.77,0.22,0.77
106,F,Fledgling,7/20/19 13:28,29.42,5.72,82.9,0.6,0.33,0.6
106,F,Fledgling,7/20/19 13:28,29.15,8.31,76.48,-1.28,0.25,1.28
106,F,Fledgling,7/20/19 13:28,36.18,10.19,71.07,-0.9,0.001766256,0.9
106,F,Fledgling,7/20/19 13:28,35,9.62,62.54,-1.7,0.33,1.7
106,F,Fledgling,7/20/19 13:28,37.76,9.26,58.88,-0.73,0.19,0.73
106,F,Fledgling,7/20/19 13:28,30.61,7.97,59.01,0.02,0.18,0.02
106,F,Fledgling,7/20/19 13:28,33.03,8.51,48.31,-2.14,0.31,2.14
106,F,Fledgling,7/20/19 13:29,26.74,7.96,51.13,0.56,0.26,0.56
106,F,Fledgling,7/20/19 13:29,23.52,6.02,54.96,0.76,0.57,0.76
106,F,Fledgling,7/20/19 13:29,20.14,7.02,54.44,-0.1,0.53,0.1
106,F,Fledgling,7/20/19 13:29,21.55,6.36,56.54,0.35,1.01,0.35
106,F,Fledgling,7/20/19 13:29,33.13,7.94,46.83,-1.94,0.13,1.94
106,F,Fledgling,7/20/19 13:29,33.28,10.43,37.84,-1.79,0.76,1.79
106,F,Fledgling,7/20/19 13:29,29.11,7.54,30.34,-1.49,0.29,1.49
106,F,Fledgling,7/20/19 13:29,32.5,7.34,27.86,-0.49,0.24,0.49
106,F,Fledgling,7/20/19 13:29,25.44,8.62,31.23,0.67,0.2,0.67
106,F,Fledgling,7/20/19 13:29,23.87,7.77,40.03,1.75,0.64,1.75
106,F,Fledgling,7/20/19 13:29,24.76,9.16,41.04,0.16,1.15,0.16
106,F,Fledgling,7/20/19 13:30,31.42,8.57,42.49,0.28,0.15,0.28
106,F,Fledgling,7/20/19 13:30,30.18,9.01,39.77,-0.54,0.22,0.54
106,F,Fledgling,7/20/19 13:30,31.37,8.06,29.34,-1.73,0.08,1.73
106,F,Fledgling,7/20/19 13:30,26.13,8.8,27.7,-0.32,0.54,0.32
106,F,Fledgling,7/20/19 13:30,23.29,8.28,26.88,-0.16,1.23,0.16
106,F,Fledgling,7/20/19 13:30,30.76,7.04,27.87,0.19,0.7,0.19
106,F,Fledgling,7/20/19 13:30,30.52,7.49,31.44,0.59,1.21,0.59
106,F,Fledgling,7/20/19 13:30,44.98,10.87,24.64,-1.36,0.27,1.36
106,F,Fledgling,7/20/19 13:30,9.27,9.91,23.15,-0.29,0.57,0.29
106,F,Fledgling,7/21/19 14:20,36.15,7.14,41.49,0.03,0.03,0.03
106,F,Fledgling,7/21/19 14:20,23.94,7.5,45.6,0.82,0.27,0.82
106,F,Fledgling,7/21/19 14:20,24.98,8.14,47.89,0.38,1.97,0.38
106,F,Fledgling,7/21/19 14:20,42.41,5.69,46.8,-0.21,1.34,0.21
106,F,Fledgling,7/21/19 14:21,59.68,15.76,46.49,-0.06,0.87,0.06
106,F,Fledgling,7/21/19 14:21,42.76,14.23,48.55,0.41,1.66,0.41
106,F,Fledgling,7/21/19 14:21,29.33,8.62,52.41,0.64,0.62,0.64
106,F,Fledgling,7/21/19 14:21,26.55,6.52,51.73,-0.11,0.21,0.11
106,F,Fledgling,7/21/19 14:21,36.37,8.76,50.93,-0.16,0.52,0.16
106,F,Fledgling,7/21/19 14:21,27.16,8.36,56.84,1.18,0.45,1.18
106,F,Fledgling,7/21/19 14:21,47.28,9.57,54.55,-0.45,0.28,0.45
106,F,Fledgling,7/21/19 14:21,49.59,12.1,51.37,-0.63,0.5,0.63
106,F,Fledgling,7/21/19 14:21,61.8,15.49,49.81,-0.31,0.28,0.31
106,F,Fledgling,7/21/19 14:21,65.94,18.87,43.42,-1.27,0.9,1.27
106,F,Fledgling,7/21/19 14:21,68.69,17.96,29.75,-2.73,0.92,2.73
106,F,Fledgling,7/21/19 14:22,40.59,12.23,34,0.7,0.13,0.7
106,F,Fledgling,7/21/19 14:22,44.41,13.34,31.38,-0.43,0.45,0.43
106,F,Fledgling,7/21/19 14:22,33.46,10.48,36.69,1.06,0.14,1.06
106,F,Fledgling,7/21/19 14:22,39.96,10.53,37.48,0.13,0.6,0.13
106,F,Fledgling,7/21/19 14:22,50.67,11.57,33.1,-0.87,0.22,0.87
106,F,Fledgling,7/21/19 14:22,33.41,11.49,33.79,0.13,0.25,0.13
106,F,Fledgling,7/21/19 14:22,55.2,13,28.1,-1.13,0.18,1.13
106,F,Fledgling,7/21/19 14:22,17.96,11.08,23.17,-0.82,2.47,0.82
106,F,Fledgling,7/22/19 4:53,36.55,7.89,29.57,-1.63,0.13,1.63
